time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-02-18 17:13:16.434 UTC, ,125,3159725,952,13872, , ,3, ,7, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,641923575808,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1518973995252, , , , ,3145728,1218, , , ,6,4,19,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,28917776,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-02-18 17:13:18.525 UTC, ,589,3308933,1416,162616, , ,36, ,10047, , , , , , , , , ,36,5, , , , ,33,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,641923575808,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1518973995252, , , , ,3145728,318319, ,18288, ,38,254,1131,182,2,254, , ,3,182, , , , , , , , , , , ,4096,2,317082,173, , , ,28, , ,2,50,87977136,-1, , , , , , ,2512, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2503, ,316267,1,2,1, , , , , , 
2018-02-18 18:16:26.650 UTC, ,125,3161981,1416,16128, , ,3, ,57,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,54,11, , , , , , , , , , , , , ,356311,2, ,318400, , , , ,356360,641712812032,25,25, , , , , ,44,2673, , , , , , , , , , , , , , , , , , , , , , , , , ,356360, ,1518977785710, , , , ,3145728,356311, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,1084282,150, , , , , , , , , , ,32647200,-1, , , , , , ,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-02-18 18:16:26.718 UTC, ,125,3204405,1416,58552, , ,15,8,47,15,0.32,8, , , , , ,5,15,5, , ,2,3,12,5, ,5,3, , , , , , , , , , , , , ,356311,2, ,318400, , , , ,356360,641712812032,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,356360, ,1518977785710, , ,8, ,3145728,357712, , ,22,0, , , ,4, , , ,3, , , , ,42,1, , , , , ,6,59647,29, , , , , , , , , , ,40323912,-1, , , , , , ,29, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , ,3, , , , , , , , 
2018-02-18 18:17:20.928 UTC, ,125,3162141,1416,16152,136, ,3, ,57,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,57,13, , , , , , , , , , , , , ,366458,3, ,357793, , , , ,366507,641712779264,24,24, , , , , ,45,2711, , , , , , , , , , , , , , , , , , , , , , , , , ,366507, ,1518977840255, , , , ,3145728,366458, , ,21,0, , , ,3, , , ,3, , , , ,21,1,2048,1, , , , ,889726,129, , , , , , , , , , ,32578392,-1, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-02-18 18:17:22.267 UTC, ,589,3368621,1416,222304, , ,47,30,19558,36,0.00,15, , , , , , ,47,5, , ,27,3,44,5, ,3,2, , , , , , , , , , , , , ,366458,3, ,357793, , , , ,366507,641712779264,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,366507, ,1518977840255, , ,15, ,3145728,495533, ,9966,67,23,250,711,182,8,250, , ,3,182, , , ,67,1, , , , , ,14,177783,83,129056,171, , , ,25, , ,5,46,47403936,-1, , , , , , ,1006, , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , ,1000, ,751218,3, , , , , , , , 
2018-02-18 18:27:11.894 UTC, ,125,3162029,1416,16176, , ,3, ,64,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,66,13, , , , , , , , , , , , , ,538111,4, ,495615, , , , , , ,-1,-1, , , , , ,66,3778, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1518978431045, , , , ,3145728,538111, , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,1510490,204, , , , , , , , , , ,33990576,-1, , , , , , ,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-02-18 18:27:13.701 UTC, ,589,3426469,1416,280152, , ,59,32,24646,47,0.00,10, , , , , , ,59,5, , ,30,3,56,5, ,5,3, , , , , , , , , , , , , ,538111,4, ,495615, , , , ,538161,641718501376,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,538161, ,1518978431045, , ,10, ,3145728,678455, ,3609,82,49,250,893,191,10,250, , ,3,191, , , ,82,1, , , , , ,18,223743,103,140324,179, , , ,21, , ,6,61,50720736,-1, , , , , , ,1009, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1000, ,1001417,3, , , , , , , , 
2018-02-18 18:27:38.147 UTC, ,125,3162133,1416,16200,80, ,3,1,77,3,0.04, , , , , , , ,3,3, ,2,1,2,1,4, ,81,15, , , , , , , , , , , , , ,733276,5, ,678537, , , , ,733326,641718202368,21,21, , , , , ,90,4858, , , , , , , , , , , , , , , , , , , , , , , , , ,733326, ,1518978457217, , , , ,3145728,733276, , ,24,0, , , ,3, , , ,3, , , , ,24,1,2048,1, , , , ,1973567,264, , , , , , , , , , ,33856056,-1, , , , , , ,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-02-18 18:27:40.336 UTC, ,589,3475757,1416,329440, , ,67,41,31172,60,0.00,8, , , , , , ,67,5, , ,39,3,64,5, ,4,2, , , , , , , , , , , , , ,733276,5, ,678537, , , , ,733326,641718202368,21,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,733326, ,1518978457217, , ,8, ,3145728,851717, ,3288,103,35,250,931,201,13,250, , ,3,201, , , ,103,1, , , , , ,25,288213,130,118421,191, , , ,16, , ,5,67,48063560,-1, , , , , , ,1006, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1000, ,1251567,3, , , , , , , , 
